year;accptTK;gbfp_SN;dcmlLtt;dcmlLng;Source;datstID;recrdrl;BEKNAAM;POLY_AREA;AREA;Area_km2;category;scientific_name;vernacular_name_en;vernacular_name_nl;gbif_link;ias_link;score;origin;popup
2021;3034825;Heracleum mantegazzianum Sommier & Levier;50.70884;4.51584;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307092854>;Dijle - Dyle;1284040130.36;1284.04013036;1284;FG1;Heracleum mantegazzianum;Giant hogweed;Reuzenbereklauw;https://www.gbif.org/species/3034825;https://ias.biodiversity.be/species/show/10;A3;Asia;Species: Giant hogweed <em>Heracleum mantegazzianum</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307092854>GBIF record</a>
2020;2891770;Impatiens glandulifera Royle;50.5704;4.17776;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307091892>;Zenne - Senne;1168339049.21;1168.33904921;1168;FG1;Impatiens glandulifera;Himalayan balsam;Reuzenbalsemien;https://www.gbif.org/species/7996854;https://ias.biodiversity.be/species/show/65;A3;Asia;Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2020<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307091892>GBIF record</a>
2021;3034825;Heracleum mantegazzianum Sommier & Levier;50.73708;4.46408;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307091634>;Dijle - Dyle;1284040130.36;1284.04013036;1284;FG1;Heracleum mantegazzianum;Giant hogweed;Reuzenbereklauw;https://www.gbif.org/species/3034825;https://ias.biodiversity.be/species/show/10;A3;Asia;Species: Giant hogweed <em>Heracleum mantegazzianum</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307091634>GBIF record</a>
2021;3034825;Heracleum mantegazzianum Sommier & Levier;50.70931;4.51538;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307088876>;Dijle - Dyle;1284040130.36;1284.04013036;1284;FG1;Heracleum mantegazzianum;Giant hogweed;Reuzenbereklauw;https://www.gbif.org/species/3034825;https://ias.biodiversity.be/species/show/10;A3;Asia;Species: Giant hogweed <em>Heracleum mantegazzianum</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307088876>GBIF record</a>
2020;2891770;Impatiens glandulifera Royle;50.68174;4.22882;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307083777>;Zenne - Senne;1168339049.21;1168.33904921;1168;FG1;Impatiens glandulifera;Himalayan balsam;Reuzenbalsemien;https://www.gbif.org/species/7996854;https://ias.biodiversity.be/species/show/65;A3;Asia;Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2020<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307083777>GBIF record</a>
2020;2891770;Impatiens glandulifera Royle;50.68826;4.66267;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307083538>;Dijle - Dyle;1284040130.36;1284.04013036;1284;FG1;Impatiens glandulifera;Himalayan balsam;Reuzenbalsemien;https://www.gbif.org/species/7996854;https://ias.biodiversity.be/species/show/65;A3;Asia;Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2020<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307083538>GBIF record</a>
2020;2891770;Impatiens glandulifera Royle;50.64356;4.56043;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307083511>;Dijle - Dyle;1284040130.36;1284.04013036;1284;FG1;Impatiens glandulifera;Himalayan balsam;Reuzenbalsemien;https://www.gbif.org/species/7996854;https://ias.biodiversity.be/species/show/65;A3;Asia;Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2020<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307083511>GBIF record</a>
2020;2891770;Impatiens glandulifera Royle;50.69284;4.20031;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307082655>;Zenne - Senne;1168339049.21;1168.33904921;1168;FG1;Impatiens glandulifera;Himalayan balsam;Reuzenbalsemien;https://www.gbif.org/species/7996854;https://ias.biodiversity.be/species/show/65;A3;Asia;Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2020<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307082655>GBIF record</a>
2020;3034825;Heracleum mantegazzianum Sommier & Levier;50.75524;4.77805;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307082633>;Dijle - Dyle;1284040130.36;1284.04013036;1284;FG1;Heracleum mantegazzianum;Giant hogweed;Reuzenbereklauw;https://www.gbif.org/species/3034825;https://ias.biodiversity.be/species/show/10;A3;Asia;Species: Giant hogweed <em>Heracleum mantegazzianum</em><br>Year: 2020<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307082633>GBIF record</a>
2020;2891770;Impatiens glandulifera Royle;50.66547;4.12692;Natagora;https://doi.org/10.15468/p58ip1;<a href=https://www.gbif.org/occurrence/3307082367>;Zenne - Senne;1168339049.21;1168.33904921;1168;FG1;Impatiens glandulifera;Himalayan balsam;Reuzenbalsemien;https://www.gbif.org/species/7996854;https://ias.biodiversity.be/species/show/65;A3;Asia;Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2020<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3307082367>GBIF record</a>
