"Time_period","species","DAFOR","count"
"before management","Elodea canadensis","Frequent (5-25%)",1
"before management","Elodea nuttallii","Frequent (5-25%)",1
"before management","Heracleum mantegazzianum","Rare (<5%)",7
"before management","Heracleum mantegazzianum","Abundant (25-50%)",3
"before management","Heracleum mantegazzianum","Dominant (> 50%)",1
"before management","Hydrocotyle ranunculoides","Rare (<5%)",3
"before management","Hydrocotyle ranunculoides","Frequent (5-25%)",2
"before management","Hydrocotyle ranunculoides","Abundant (25-50%)",2
"before management","Hydrocotyle ranunculoides","Dominant (> 50%)",4
"before management","Impatiens glandulifera","Rare (<5%)",101
"before management","Impatiens glandulifera","Frequent (5-25%)",187
"before management","Impatiens glandulifera","Abundant (25-50%)",152
"before management","Impatiens glandulifera","Frequent to Dominant",1
"before management","Impatiens glandulifera","Abundant / Dominant (depending on quadrat)",2
"before management","Impatiens glandulifera","Dominant (> 50%)",82
"before management","Ludwigia grandiflora","Rare (<5%)",1
"before management","Ludwigia grandiflora","Frequent (5-25%)",1
"before management","Ludwigia peploides","Rare (<5%)",1
"before management","Myriophyllum aquaticum","Rare (<5%)",1
"before management","Myriophyllum aquaticum","Frequent (5-25%)",2
"before management","Myriophyllum aquaticum","Abundant (25-50%)",1
"before management","Myriophyllum aquaticum","Dominant (> 50%)",4
"before management","Zizania latifolia","Rare (<5%)",2
"before management","Zizania latifolia","Dominant (> 50%)",1
